text,label
"В 1С при проевдении документа «Начисление зарплаты» не формируются проводки по счету 70. Ошибок нет, просто пустые движения регистров.","buh"
"Как самому подключить общий сетевой диск (SMB): формат пути и учётные данные.","it"
"Прошу перенести отпуск с ноября на декабрь, оформить командировочные расходы за поездку в Казань 05-08.10, и исправить табель — отмечен прогул 11.10, хотя я был на работе.","hr"
"Ошибка при деплое в Kubernetes через Helm (timed out waiting for condition), pod не может подключиться к БД (connection refused), и ConfigMap не применяется (версия конфликтует).","it"
"Требуется восстановить удаленную папку из бэкапа (\\fileserver\\Projects\\Q4\\Budget за 14.10), восстановить письма из Входящих за 10-12.10, и откатить изменения в базе данных на 16.10 20:00.","hr"
"В SAP FI не проводится документ FB60 (Balance not zero), не формируется отчет по НДС RFUMSV00 (пустой результат), и зависает закрытие периода FI/CO. Месячное закрытие заблокировано.","buh"
"Не работает корпоративная Wi-Fi сеть Corp-Guest для посетителей на ресепшене. Гости не могут подключиться. Пароль проверен.","it"
"В 1С при конвертации из УТ в Бухгалтерию теряется аналитика по затратам (счет 26), дублируются проводки по 60 счету, и не переносятся реквизиты контрагентов. Синхронизация сломана.","buh"
"Инструкция: как отправить крупный файл внешнему партнёру с гостевой ссылкой.","buh"
"Oracle EBS AP: при матчинге счетов к заказам (3-way match) блокировка по расхождению количества 0,01. Нужен допуск по толерансу.","buh"
"Не синхронизируется календарь между Outlook и мобильным приложением iOS. События добавляю на ПК, на телефоне не появляются.","it"
"Прошу оформить доплату за работу в ночное время за период сентябрь 2025. Табель приложен, смены: 05.09, 12.09, 19.09, 26.09.","hr"
"Как добавить/удалить себя из рассылки через самообслуживание: ссылка и шаги.","hr"
